ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
126,S126,0,0,0,0,0,9.3,0,0,8.7,0,0,0,1.3,0,0,0,0,4.5,76.2,1.009
127,S127,0,0,0,0,0,11.5,0,0,0,11.7,0,0,2,0,0,0,0,4.2,70.6,1.015
128,S128,0,0,0,0,0,8.8,0,0,0,0,12.7,0,1.2,0,0,0,0,1.5,75.8,1.011
129,S129,0,0,0,0,0,11,0,0,0,0,0,9.9,1.1,0,0,0,0,2.9,75.1,1.004
130,S130,0,0,0,0,0,0,11.7,8.1,0,0,0,0,2.9,0,0,0,0,4,73.3,1.014
131,S131,0,0,0,0,0,0,0,0,11.6,0,0,8.5,2,0,0,0,0,3.9,74,0.999
132,S132,0,0,0,0,0,0,12.1,0,0,12.9,0,0,2.5,0,0,0,0,2,70.5,1.014
133,S133,0,0,0,0,0,0,12.8,0,0,0,12.6,0,2.2,0,0,0,0,4.1,68.3,1.011
134,S134,0,0,0,0,0,0,11.2,0,0,0,0,10.3,1,0,0,0,0,3.6,73.9,1
135,S135,0,0,0,0,0,0,0,9.8,12.8,0,0,0,1.6,0,0,0,0,4.3,71.5,1.01
136,S136,0,0,0,0,0,0,0,9.2,0,11.8,0,0,1.1,0,0,0,0,3.8,74.1,1.011
137,S137,0,0,0,0,0,0,0,10.1,0,0,11.9,0,2.8,0,0,0,0,1.1,74.1,1.012
138,S138,0,0,0,0,0,0,0,9.9,0,0,0,8.5,2.8,0,0,0,0,1.9,76.9,1.005
