ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity/NTU,Viscosity_10/cP,Newtonian
240,8.22,0.00,0.00,0.00,0.00,9.35,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,4.07,0.00,FALSE,NA,NA,NA
241,0.00,0.00,0.00,6.68,0.00,0.00,0.00,0.00,12.93,0.00,0.00,0.00,1.58,0.00,0.00,0.00,2.99,0.00,TRUE,23,73,FALSE
242,0.00,0.00,0.00,0.00,0.00,0.00,8.68,0.00,13.23,0.00,0.00,0.00,1.42,0.00,0.00,0.00,4.91,0.00,FALSE,NA,NA,NA
243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.41,0.00,8.80,0.00,1.61,0.00,0.00,0.00,1.22,0.00,FALSE,NA,NA,NA
244,0.00,0.00,0.00,0.00,0.00,12.64,9.97,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00,0.00,4.32,0.00,FALSE,NA,NA,NA
245,0.00,0.00,0.00,9.30,0.00,0.00,10.07,0.00,0.00,0.00,0.00,0.00,2.66,0.00,0.00,0.00,2.45,0.00,TRUE,30,90,FALSE
246,0.00,0.00,0.00,0.00,7.28,0.00,0.00,0.00,0.00,0.00,0.00,12.58,1.20,0.00,0.00,0.00,1.96,0.00,TRUE,17,8,TRUE
247,0.00,0.00,0.00,0.00,11.85,0.00,0.00,0.00,9.72,0.00,0.00,0.00,2.56,0.00,0.00,0.00,1.72,0.00,TRUE,22,21,TRUE
248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.73,0.00,0.00,9.92,2.83,0.00,0.00,0.00,1.46,0.00,TRUE,21,3,TRUE
249,0.00,0.00,0.00,0.00,0.00,9.54,0.00,0.00,0.00,0.00,9.26,0.00,2.17,0.00,0.00,0.00,3.47,0.00,FALSE,NA,NA,NA
250,0.00,0.00,0.00,0.00,0.00,12.71,0.00,0.00,0.00,12.11,0.00,0.00,2.29,0.00,0.00,0.00,1.40,0.00,FALSE,NA,NA,NA
251,0.00,12.43,0.00,0.00,0.00,0.00,0.00,11.14,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,4.59,0.00,FALSE,NA,NA,NA
252,0.00,0.00,0.00,0.00,0.00,10.75,0.00,0.00,10.63,0.00,0.00,0.00,2.06,0.00,0.00,0.00,4.42,0.00,FALSE,NA,NA,NA
253,0.00,0.00,0.00,0.00,12.30,0.00,0.00,0.00,0.00,0.00,0.00,8.28,2.52,0.00,0.00,0.00,1.04,0.00,TRUE,19,5,TRUE
